Restaurant Name,Cuisine,Average Cost,Rating,City
Cake Park,"Fast Food, Bakery",250,3.9,Chennai
Cake Parlour,Bakery,100,3.8,Jabalpur
Cake Parlour,Bakery,200,4.0,Lucknow
Cake Parlour,"Fast Food, Bakery",50,4.1,Varanasi
Cake Pastry Shop,Bakery,200,4.0,NCR
Cake Planet,"Street Food, Bakery",50,3.0,Jalandhar
Cake Planet,Bakery,50,3.4,Jamshedpur
Cake Plaza,Bakery,200,3.5,Vadodara
Cake Plaza,"Fast Food, Street Food",100,3.9,Kota
Cake Plaza,Bakery,50,4.1,Allahabad
Cake Plaza,"Fast Food, Bakery",150,4.2,Warangal
Cake Point,Bakery,200,2.9,Ujjain
Cake Point,Bakery,200,3.0,Lucknow
Cake Point,Bakery,200,3.1,Bhopal
Cake Point,Bakery,300,3.1,Kolkata
Cake Point,Bakery,100,3.4,Kota
Cake Point,Bakery,100,3.4,Ajmer
Cake Point,Bakery,200,3.4,Ludhiana
Cake Point,Bakery,100,3.5,Udaipur
Cake Point,Bakery,300,3.7,Bhubaneswar
Cake Point,Bakery,250,3.8,Varanasi
Cake Point,Bakery,100,3.9,Ajmer
Cake Point,"Fast Food, Bakery",150,4.0,Guwahati
Cake Pride,Bakery,150,3.3,Jabalpur
Cake Quality,Bakery,150,3.3,Bikaner
Cake Quality,Bakery,250,3.3,Udaipur
Cake Quality Adda,Bakery,50,2.6,Ludhiana
Cake Queen,Bakery,100,3.0,Bhopal
Cake Queen,Bakery,100,3.1,Ajmer
Cake Queen,"Fast Food, Bakery",100,4.0,NCR
Cake Queens,Bakery,150,3.7,Lucknow
Cake Radhey,Bakery,250,3.1,Jhansi
Cake Raj Bakery,Bakery,200,4.3,Lucknow
Cake Rominos,Bakery,150,4.0,Bhopal
Cake Room,Bakery,200,3.1,Ludhiana
Cake Room,Bakery,250,4.1,Chennai
Cake Roven,Fast Food,150,4.2,Guntur
Cake Sahi,Bakery,100,3.8,Jabalpur
Cake Shake,"Fast Food, Bakery",100,3.8,Ajmer
Cake Shake And Cafe,"South Indian, Fast Food, Street Food, Bakery",100,3.6,Agra
Cake Shop,Bakery,100,4.0,Dehradun
Cake Shop,Bakery,350,4.0,Jaipur
Cake Shop,Fast Food,250,4.3,Bhubaneswar
Cake Shop Factory,Bakery,250,2.5,Lucknow
Cake Shore,Bakery,200,4.2,Trivandrum
Cake Showroom,Bakery,100,2.9,Gorakhpur
Cake Showroom,Bakery,200,3.3,Ajmer
Cake Showroom,Bakery,300,3.3,Agra
Cake Showroom Bakery,Bakery,100,3.4,Bhopal
Cake Specialist,Bakery,450,3.0,Kanpur
Cake Spoon,Bakery,200,3.7,NCR
Cake Square,"Fast Food, Bakery",100,4.3,Ludhiana
Cake Square,Bakery,100,4.4,Chennai
Cake Square Premium,"Fast Food, Bakery",350,3.5,Chennai
Cake Standard Baker,"Fast Food, Bakery",400,3.9,Gorakhpur
Cake Star,Bakery,250,3.4,Lucknow
Cake Star And Cafe,Bakery,150,4.0,Kolhapur
Cake Star Bakery,Bakery,50,3.6,Allahabad
Cake Stories,Bakery,150,3.2,Bhopal
Cake Story,Bakery,100,2.7,Indore
Cake Story,Bakery,250,3.2,Kota
Cake Story,Bakery,200,3.4,Ajmer
Cake Story,Bakery,150,3.5,Agra
Cake Story,Bakery,100,3.6,Nashik
Cake Story s,Bakery,300,3.3,Nashik
Cake Street,Bakery,350,2.9,Ludhiana
Cake Street,Bakery,50,3.1,Bhopal
Cake Street,Bakery,200,3.9,Kota
Cake Studio,Bakery,200,3.0,Jodhpur
Cake Studio,Bakery,100,3.1,Indore
Cake Studio,Bakery,300,3.4,Durgapur
Cake Studio,Bakery,300,3.7,Patiala
Cake Studio,Bakery,300,3.8,Asansol
Cake Studio,Bakery,300,3.9,Guntur
Cake Studio,Bakery,350,3.9,Raipur
Cake Studio,Bakery,100,4.1,Gorakhpur
Cake Studio,Bakery,100,4.3,Vijayawada
Cake Studio,Bakery,150,4.5,Kota
Cake Studio Dil Se Cafe,Bakery,300,3.5,Asansol
Cake Sun,Bakery,200,2.7,Bhopal
Cake Sun,Bakery,200,3.4,Kota
Cake Super,Bakery,350,3.5,Varanasi
Cake Surprise,Bakery,250,3.2,Udaipur
Cake Surprise,Bakery,150,3.4,Bikaner
Cake Swami,Bakery,100,3.7,Lucknow
Cake Sweet Heaven,Indian,100,3.8,Gaya
Cake Theodroma,Bakery,100,4.0,Bhopal
Cake Thikana,Bakery,150,3.4,Udaipur
Cake Time,Bakery,100,3.0,Ajmer
Cake Time,Bakery,250,3.2,Kota
Cake Time,Bakery,100,3.8,Kanpur
Cake Time Bakery Confectionery,"Fast Food, Bakery",150,4.0,NCR
Cake Town,Bakery,150,3.2,Udaipur
Cake Town,Bakery,100,3.4,Kanpur
Cake Town,Bakery,200,3.9,Jodhpur
Cake Treat,Bakery,150,2.9,Kota
Cake Treat,Bakery,250,3.3,Ajmer
Cake Treat,Bakery,200,3.5,Bhopal
Cake Tres Bon,Bakery,150,4.0,Hyderabad
Cake Uncle,Bakery,200,3.0,Chandigarh
Cake Valley,Bakery,150,3.0,Bhopal
Cake Valley,"Fast Food, Bakery",300,3.5,Lucknow
Cake Villa,Bakery,250,3.8,Varanasi
Cake Waka,Bakery,50,3.2,Bhopal
Cake Wake,Indian,150,3.8,Jaipur
Cake Wake,Bakery,100,4.0,Kanpur
Cake Wala,Bakery,150,2.7,Agra
Cake Wala,Bakery,150,2.9,Meerut
Cake Wala,Bakery,250,3.3,Jhansi
Cake Wala,"Fast Food, Street Food, Bakery",150,3.6,Bhopal
Cake Wala,Bakery,200,3.7,Kota
Cake Wala,Bakery,200,3.8,Bhopal
Cake Wala,Bakery,50,3.9,Agra
Cake Wala,Bakery,200,4.0,Udaipur
Cake Walas,Bakery,100,3.0,Ajmer
Cake Walas,Bakery,100,3.3,Kota
Cake Walas,Bakery,250,3.4,Udaipur
Cake Walas,Bakery,150,4.2,Kanpur
Cake Walas,Bakery,150,4.3,Bhopal
Cake Wale,Bakery,100,4.2,Kanpur
Cake Walk,"Fast Food, Bakery",50,3.7,Kota
Cake Walk,Fast Food,100,4.1,Ranchi
Cake Walk,Bakery,100,4.2,Kanpur
Cake Walk,Indian,150,4.2,Bhavnagar
Cake Walk,"Fast Food, Bakery",100,4.4,Rajkot
Cake Walk,Bakery,150,4.4,Solapur
Cake Walk,Bakery,100,4.5,Chennai
Cake Walk,"Fast Food, Bakery",50,3.7,Chandigarh
Cake Walkers,Bakery,200,3.8,Mumbai
Cake Waves,Bakery,100,3.6,Chennai
Cake Waves,"Fast Food, Bakery",150,4.5,Trichy
Cake Waves,"Fast Food, Bakery",150,4.9,Trichy
Cake With Happiness,Bakery,200,3.8,Kota
Cake With Us,"Fast Food, Bakery",300,3.6,Thrissur
Cake Works,Bakery,200,4.1,Chennai
Cake World,Bakery,200,3.0,Agra
Cake World,Bakery,100,3.2,Indore
Cake World,Bakery,250,3.2,Indore
Cake World,Bakery,100,3.6,Jhansi
Cake World,Bakery,350,3.7,Jaipur
Cake World,Bakery,350,3.8,Jaipur
Cake World,Indian,100,4.0,Asansol
Cake World,Bakery,150,4.0,Bhopal
Cake World,Bakery,150,4.2,Trivandrum
Cake World,Bakery,250,4.3,Jaipur
Cake World Bakery,Bakery,150,3.2,Kota
Cake Yummy,Bakery,150,4.3,Kanpur
Cake Zone,Bakery,100,4.1,Cuttack
Cake Zone,Bakery,150,4.2,Warangal
Cake Com,"Fast Food, Bakery",150,3.8,Guwahati
Cake Com,Bakery,200,3.9,Guwahati
Cake Com,"Fast Food, Bakery",250,4.0,Guwahati
Cake Com Professionals,Bakery,100,3.7,Guwahati
Cake,Bakery,550,4.0,NCR
CakeX Com,Bakery,300,3.2,Kolkata
CakeX Com,Bakery,200,3.5,Varanasi
Cake A Lishious,Bakery,300,3.9,Ranchi
CakeBee,Bakery,100,4.2,Chennai
CakeBee,"Fast Food, Street Food, Bakery",150,4.2,Trichy
CakeBee,Bakery,200,4.2,Coimbatore
Cakebox,"Fast Food, Bakery",200,3.6,Patna
Cakefloral,Bakery,250,4.3,NCR
Cakelayner,Bakery,100,3.6,Allahabad
Cakelayner,Bakery,100,3.7,Kanpur
Cakelers,Bakery,150,4.6,Alappuzha
Cake Links,Bakery,150,4.2,Nagpur
Cakeman,Bakery,150,3.9,Pune
Caken Crust,Bakery,250,4.2,Patna
Cake o Clock Bakery,Bakery,100,3.9,Kanpur
Cake O Lock,Bakery,250,4.3,Nagpur
Cakeology,Bakery,200,3.1,Ajmer
Cakeology,Bakery,200,3.3,Jodhpur
Cakeology,"Fast Food, Bakery",100,3.4,Jaipur
Cakeology,Bakery,100,3.5,Jaipur
Cakeology,Bakery,250,3.7,Mumbai
Cakeology Cake,Bakery,100,3.9,Agra
Cakerica,Bakery,200,4.2,Kolkata
CakeRmon by Ganguram s,"Fast Food, Street Food, Bakery",100,4.0,Kolkata
CakeRmon by Ganguram s,"Fast Food, Bakery",100,4.1,Kolkata
Cakerss,Bakery,250,4.3,Patna
Cakery N Bakery,"Fast Food, Bakery",300,3.8,Agra
Cakes,"Fast Food, Bakery",200,4.2,Kolkata
Cakes Bakery,Bakery,100,3.8,Jalandhar
Cakes Bakes,Bakery,100,2.9,Agra
Cakes Bakes,"Fast Food, Bakery",50,3.4,Jamshedpur
Cakes Bakes,"Fast Food, Bakery",200,3.7,Durgapur
Cakes Coffee,"Fast Food, Bakery",150,4.2,Ludhiana
Cakes More,Bakery,250,4.1,Bhubaneswar
Cakes Shakes,Bakery,200,3.9,Visakhapatnam
Cakes Shapes,"Fast Food, Bakery",200,2.9,Kolkata
Cakes,Bakery,150,3.6,Bhopal
Cakes,Indian,100,3.1,Siliguri
Cakes,Bakery,150,4.0,Amritsar
Cakes,"Fast Food, Street Food, Bakery",250,3.9,Indore
Cakes You,Bakery,100,3.7,Patna
Cakes You,Bakery,300,4.1,Lucknow
Cakes And Bakes,Fast Food,100,4.2,Lucknow
Cakes And Bakes Shoppee,Bakery,150,4.2,Lucknow
Cakes And Beyond,"North Indian, Fast Food, Bakery",350,4.6,Jalandhar
Cakes and More,Bakery,300,3.1,Indore
Cakes by Chocolates,Bakery,50,4.2,Coimbatore
Cakes By Krishna Bakery,Bakery,100,3.6,Jaipur
Cakes By Mama Mia,Bakery,200,4.3,Kolkata
Cakes By Mama Mia,Bakery,50,4.0,Kolkata
Cakes Celebration,Bakery,200,3.6,Raipur
Cakes Creation,Bakery,300,4.2,Kota
Cakes Den,Bakery,250,3.8,Visakhapatnam
Cakes Dilight,Bakery,350,3.1,Allahabad
Cakes For Celebrations,Bakery,200,3.9,Allahabad
Cakes Forever,Bakery,150,3.3,Ludhiana
Cakes Heaven,Bakery,200,3.7,Visakhapatnam
Cakes House,Bakery,200,3.8,Kanpur
Cake s House,Bakery,150,3.8,Gorakhpur
Cakes Inn,Bakery,200,3.6,Lucknow
Cake s Inn,Bakery,300,3.8,Nagpur
Cakes Lover,Bakery,150,3.8,Gorakhpur
Cakes Mania,Bakery,150,3.4,Kanpur
Cakes Millenium,Bakery,150,3.2,Bhopal
Cakes N Bakes,"Fast Food, Street Food, Bakery",100,3.5,Ahmedabad
Cakes N Bakes,"Fast Food, Bakery",400,4.3,Ranchi
Cakes N Bakes The Cake Shoppee,Bakery,200,3.5,Vadodara
Cakes N Balloons,Bakery,100,4.0,Pune
Cakes N Cakes,Bakery,100,3.2,Allahabad
Cakes N Candles,Bakery,150,4.2,Nashik
Cakes N Cookies,Bakery,200,3.5,Vijayawada
Cakes N Craft,Bakery,100,3.3,Ujjain
Cakes N Creams,Bakery,100,3.9,Coimbatore
Cakes N Flakes,Bakery,300,3.7,Jodhpur
Cakes N Koffee,Bakery,100,4.3,Bhopal
Cakes N More,Bakery,250,3.0,Indore
Cakes N More,Bakery,250,3.4,Vadodara
Cakes N Shakes,Bakery,450,4.2,Puducherry
Cakes N Shape,Bakery,100,3.3,Allahabad
Cakes N Shapes,Bakery,100,3.8,Bhubaneswar
Cakes N Stuff,Bakery,150,4.2,Chandigarh
Cakes Super,Bakery,100,3.9,Patna
Cake s Treat,Bakery,50,4.4,Indore
Cakesalley,Bakery,250,4.3,Patna
Cakesclub Com,Bakery,150,3.8,Hyderabad
Cakesmith,Bakery,400,3.1,Kanpur
Cakewala,Bakery,400,4.2,Bangalore
Cakewalk,"North Indian, Fast Food, Street Food, Bakery",200,4.0,Vadodara
Cakewalk Kulfi House,Bakery,100,4.1,Gaya
Cakewanis s,Bakery,150,3.6,Ujjain
Cakey,Bakery,100,3.1,Udaipur
Cakey Bakey,Bakery,400,4.0,Kanpur
Cakey N Bakey,"Fast Food, Bakery",350,4.3,Kota
CakeZone,Bakery,100,3.2,Trichy
CakeZone,Bakery,50,3.7,Nashik
CakeZone,Bakery,200,3.8,Mumbai
CakeZone,Bakery,100,3.9,Thrissur
CakeZone,Bakery,150,3.9,Salem
CakeZone,Bakery,150,3.9,Madurai
CakeZone,Bakery,200,3.9,Nagpur
CakeZone,Bakery,150,4.0,Coimbatore
CakeZone,Bakery,100,4.1,Warangal
CakeZone,Bakery,100,4.1,Jaipur
CakeZone,Bakery,200,4.1,Surat
CakeZone,Bakery,200,4.1,Chennai
CakeZone,Bakery,250,4.1,Delhi NCR
CakeZone,Bakery,300,4.1,Hyderabad
CakeZone,Bakery,50,4.2,Bangalore
CakeZone,Bakery,300,4.2,Mysore
CakeZone,Bakery,100,4.3,Mangalore
CakeZone,Bakery,200,4.3,Pune
CakeZone,Bakery,250,4.3,Chandigarh
CakeZone Pure Veg,Bakery,150,4.1,Ahmedabad
Cakisto,Bakery,250,3.7,Mumbai
Caky Baky,Bakery,200,3.9,Patna
Calcutta,Fast Food,400,4.1,Kolkata
Calcutta,Indian,300,4.1,Kolkata
Calcutta Chats,Street Food,150,3.4,Coimbatore
Calcutta Chiit Chaat,"North Indian, Biryani",300,4.0,Kolkata
Calcutta Cravings,Fast Food,300,4.0,Kolkata
Calcutta Roll Biryani Center,"North Indian, Biryani",150,4.1,Nagpur
Calcutta Roll Center,North Indian,150,4.0,Nagpur
Calcutta Rolls,"North Indian, Fast Food",100,4.2,Nagpur
Calcutta Sweets,Street Food,100,3.7,Asansol
Calcutta Sweets,Street Food,100,3.7,Meerut
Calcutta Sweets,Street Food,200,4.2,Asansol
Calcutta Sweets,Indian,100,4.4,Lucknow
Calcutta Victoria Chat House,"North Indian, Street Food",250,3.8,Bangalore
Caldo s Cafe Lounge,Fast Food,300,3.8,Jalandhar
Calicut Briyani Hut,Biryani,150,4.0,Madurai
Calicut Restaurant,"South Indian, North Indian",150,4.2,Bangalore
California Burrito,Fast Food,200,4.3,Hyderabad
California Pizza Kitchen,Indian,250,3.6,Mumbai
Calkata Sweet Chat,Street Food,200,4.0,Hyderabad
Call Chotu Your Everyday Food Genie,"North Indian, Fast Food, Street Food",250,4.1,Delhi NCR
Call Combos,North Indian,150,3.7,Bhopal
Call For Cake,Bakery,100,4.0,Coimbatore
Call For Cake,Bakery,150,4.0,Coimbatore
Call For Cake,Bakery,150,4.2,Coimbatore
Call Me Chow,Indian,150,4.3,Bangalore
Call Chef,"South Indian, Street Food",150,3.9,Agra
Callisto Cafe,Indian,50,4.0,Nagpur
Caloria,"North Indian, Fast Food",300,3.6,Manipal
Calorie Check,Indian,350,4.2,Patiala
Calorie Crave,Fast Food,250,4.1,Kolkata
CalorieCo,North Indian,150,3.5,NCR
Caltex Of Omlette Fame,Fast Food,200,4.3,Meerut
Cambino Juice Factory,Indian,100,4.0,NCR
Camdin Patisserie Boulangerie,"Fast Food, Bakery",100,4.3,NCR
Camiano Patisserie Brasserie,"Fast Food, Bakery",300,3.7,Jaipur
Camp Purohit Sweets,Street Food,100,4.4,Belgaum
Camp Restaurant,North Indian,150,3.5,Mumbai
Campari,Fast Food,100,4.4,Kolkata
Campus Addaaa,"North Indian, Fast Food",100,3.7,Jamshedpur
Campus Bakers,"Fast Food, Bakery",50,4.3,Agra
Campus Shawarma,Indian,150,3.9,Solapur
Canada Pizza,Fast Food,50,4.0,Manali
Canadian Pizza,Fast Food,250,4.1,Patiala
Canara Coffee House,"South Indian, Street Food",250,3.8,Vadodara
Canara Family Dining,"North Indian, Biryani",250,4.0,Mumbai
Candle Light Cafe,Fast Food,150,4.0,Trivandrum
Candy Cloud Factory,Fast Food,150,3.8,Salem
Candy Eats Treats,"Fast Food, Bakery",300,3.8,Warangal
Cane Magic,Indian,200,4.4,Vijayawada
Canjskheer,Indian,150,4.4,Vijayawada
Cannoli Bakery Cafe,"Fast Food, Street Food",200,3.7,Rajkot
Canteen,Fast Food,150,4.5,Puducherry
Canteen x,"North Indian, Biryani",250,3.7,NCR
Canteen x,"North Indian, Biryani",500,3.7,Delhi NCR
Cantt Food Court,"North Indian, Fast Food",50,3.6,Jalandhar
Cape Of Good Food,Biryani,100,3.6,Warangal
Capital Creams Shakes,Fast Food,400,3.2,Vijayawada
Capital Kitchen,"North Indian, Biryani",300,3.4,Kolhapur
Capital Multi Cuisine Restaurant,"North Indian, Biryani",250,4.0,Hyderabad
Capitol Residency Melange,"South Indian, North Indian",100,4.0,Ranchi
Cappuccino Pizza Shop,Fast Food,150,4.1,Trichy
Capri Italian,Indian,200,3.6,Vijayawada
Capri Restaurant,North Indian,400,3.8,Agra
Capri Wings,Indian,300,3.9,NCR
Capsicum,Biryani,200,3.4,Mangalore
Capsicum,"North Indian, Fast Food, Street Food",200,4.0,Allahabad
Capsicum Food Court,"South Indian, North Indian, Fast Food",200,4.2,Varanasi
Capsule,North Indian,150,4.0,Kanpur
Captain Burger,Fast Food,150,4.2,Varanasi
Captain Cook,North Indian,150,4.0,Hyderabad
Captain Cook Take Away,"North Indian, Biryani",250,3.3,Warangal
Captain Grill,North Indian,150,4.2,Lucknow
Captain Kunafa,Indian,300,4.2,Hyderabad
Captain Nova,"North Indian, Fast Food",250,3.8,Varanasi
Captain Sam s,Indian,250,3.7,Patiala
Captain Sam s,Fast Food,200,3.9,Ludhiana
Captain Sam s Pizza,Indian,150,3.6,Delhi NCR
Captain Wings,Fast Food,100,3.5,Solapur
Captions Burger,Fast Food,100,4.4,Bhubaneswar
Capucino,Fast Food,150,4.3,Trichy
Car O Bar By Kalra s Kitchen,"North Indian, Fast Food",200,3.5,Jaipur
Car Khana,"North Indian, Biryani",300,3.8,Amritsar
Caramel Bakes,"Fast Food, Bakery",100,3.9,Coimbatore
Caramella s,Bakery,150,4.0,Pune
Caravan Cafe,"Fast Food, Street Food",50,3.6,Ujjain
Caravan Cafe,Fast Food,100,4.3,Kolkata
Caravan Family Restaurant,North Indian,100,3.8,Mysore
Cardamom,Indian,200,3.1,Goa
Cardiff Cafe,Fast Food,200,3.6,Coimbatore
Cardiff Cafe Codissia,Fast Food,200,3.6,Coimbatore
Cardiff Cafe BBQ,Fast Food,100,3.5,Coimbatore
Care Your Taste,"North Indian, Street Food",300,3.4,NCR
Carl s N Flames,Fast Food,150,3.3,Ludhiana
Carnatic Cafe,South Indian,100,4.4,NCR
Carnival Momos,Indian,400,3.8,Nashik
Carnival Restaurant,"North Indian, Biryani",100,3.9,Nashik
Carry On Pizza,Fast Food,250,3.8,Amritsar
Carryout Restaurant,"North Indian, Street Food, Biryani",250,3.3,Vadodara
Carter s Blue,North Indian,250,4.3,Mumbai
Casa Bella Vista Pizzeria,Indian,150,4.3,Chandigarh
Casa Blanca,Indian,200,3.7,Mumbai
Casa Jeri,Fast Food,350,4.1,Goa
Casa Kitchen,North Indian,100,3.9,Kolkata
Casa Mia,Fast Food,250,3.7,Kolkata
Casa Oliva,Fast Food,350,3.9,Manali
Casa Picolla,"North Indian, Biryani",100,3.8,Patna
Casablanca,"North Indian, Biryani",50,3.9,Vadodara
Casamila Restaurant,"North Indian, Biryani",150,4.3,Varanasi
Cascade Cafe,Fast Food,100,4.2,Trichy
Casera Cafe,"Fast Food, Street Food",200,3.9,Vadodara
Cash N Carry s Chatako Panipuri,Street Food,150,4.1,Vadodara
Cash N Carry s Red Chili Dabeli Vadapav,Street Food,100,4.4,Vadodara
Casserole,"South Indian, North Indian, Fast Food, Biryani",200,4.2,Vijayawada
Cassia Restaurant Cafe,"South Indian, North Indian, Fast Food, Street Food",150,4.1,Gorakhpur
Cassino Gold Ice Cream,Indian,200,3.8,Jaipur
Castabill,Fast Food,150,4.2,Patna
Castalino Kitchen,"South Indian, North Indian, Biryani",200,3.2,Nashik
Castle,"North Indian, Fast Food, Biryani",200,4.2,Kolhapur
Castle Cakes,Bakery,300,3.8,NCR
Castle Grill,"Fast Food, Street Food",200,4.4,Chandigarh
Castle Mandi,Indian,350,3.6,Guntur
Castle s Barbeque,North Indian,350,4.0,NCR
Catch,"South Indian, North Indian, Fast Food, Bakery",100,4.4,Chandigarh
Catena Coffee,Fast Food,250,4.3,Belgaum
Caterspoint,Fast Food,200,4.2,Delhi NCR
Caterspoint,Fast Food,300,4.2,NCR
Caterspoint,Fast Food,350,4.2,Chandigarh
Cathy Confectioners,"Street Food, Bakery",150,3.9,Patna
Catpro Kitchen Express,"North Indian, Fast Food",250,3.3,Goa
Cava Bar Lounge,"North Indian, Fast Food, Biryani",600,4.0,Patiala
Cawnpore Baking Company,Bakery,100,4.3,Kanpur
Cawnpore Central,"North Indian, Fast Food",100,3.7,Kanpur
Cawnpore Kitchen,Fast Food,150,3.3,Kanpur
Cawnpore Kitchen,"North Indian, Fast Food",100,4.0,Kanpur
CBI Coffee Bureau Of Indore,Fast Food,350,4.3,Indore
CBSC Cooked In Brass Served In Clay,North Indian,100,3.9,Indore
CCFC,Fast Food,250,4.3,Siliguri
CDP N More,Fast Food,150,3.6,Gaya
Ceebo The Health Monk,Fast Food,50,4.2,Nagpur
Celebration,"Fast Food, Bakery",200,3.6,Chennai
Celebration,North Indian,50,3.9,Dhanbad
Celebration,"South Indian, North Indian, Fast Food, Street Food",200,4.2,Siliguri
Celebration,"Fast Food, Bakery",150,4.3,Chennai
Celebration,Bakery,200,4.3,Gaya
Celebration Bakers,Bakery,250,3.9,Bareilly
Celebration Bakery,Bakery,100,3.9,Haridwar
Celebration Bakery And Foods,Fast Food,100,3.2,Kota
Celebration Cake Shop,Bakery,100,3.8,Allahabad
Celebration Cakes And Bakes,Bakery,150,3.9,Jalgaon
Celebration Cakes And Bakes,"North Indian, Fast Food, Bakery",150,4.2,Bareilly
Celebration Fast Food,Fast Food,100,3.6,Ranchi
Celebration Lunch Box,"South Indian, North Indian, Biryani",200,4.0,Bareilly
Celebration Pizza,Indian,100,3.6,Jalgaon
Celebration Resturent,"North Indian, Biryani",50,3.9,Jalandhar
Celebration The Cake Shop,Bakery,250,4.4,Jalgaon
Celebration Time,"Fast Food, Bakery",150,3.6,Lucknow
Celebrations,"North Indian, Fast Food, Street Food, Bakery",100,4.0,Kanpur
Celebrations,"North Indian, Fast Food",150,4.0,Allahabad
Celebrations,"North Indian, Biryani",150,4.0,Solapur
Celebrations,"South Indian, North Indian, Fast Food",150,4.2,Mumbai
Celebrations Family Restaurant and Bar,"North Indian, Biryani",150,3.3,Sangli
Celebration s Kitchen,Fast Food,150,4.0,Bareilly
Celebrations Multicuisine Restaurant,"North Indian, Biryani",200,3.6,Nellore
Celebrity Biryani Hut,"North Indian, Biryani",100,3.9,Guntur
Celejor,"Fast Food, Bakery",100,4.4,Mumbai
Celesty Ice Cream Parlour,Indian,200,4.2,Raipur
Centaurus,North Indian,200,3.8,Lucknow
Center Point,Fast Food,150,4.0,Surat
Central A Boutique Hotel,"South Indian, North Indian",200,3.6,Belgaum
Central Bawarchi,"North Indian, Biryani",100,3.4,Hyderabad
Central Bhojnalay,North Indian,200,4.2,Mumbai
Central Biryani,Biryani,150,2.9,Chandigarh
Central Cafe,Fast Food,150,3.7,Ujjain
Central Cafe Restaurant,Fast Food,150,4.2,Meerut
Central Conversations Cafe,Fast Food,150,3.7,Varanasi
Central Perk,Fast Food,100,3.8,Udaipur
Centre Point,North Indian,250,4.0,Guwahati
Centre Point Delivery,"North Indian, Fast Food",350,4.2,Nagpur
C est La Vie Cafe,"North Indian, Fast Food, Street Food",200,3.9,Indore
CFK A Unit Of Biryani House,"North Indian, Biryani",150,3.9,Ranchi
CG Chicken Box,North Indian,150,3.3,Raipur
Cha Cafe,Fast Food,100,4.0,Bhavnagar
Cha Maska,"Fast Food, Street Food",100,4.1,Agra
Cha Paanni,Fast Food,400,3.9,Jodhpur
Cha Pani,"Fast Food, Street Food",150,3.7,Jaipur
Cha Republic,Indian,250,4.1,Chennai
Cha Vala Cafe Pvt Ltd,Fast Food,50,4.3,Rajkot
Chaa Mathi,Fast Food,150,3.9,NCR
Chaa Nagani,"North Indian, Fast Food, Street Food",100,4.1,Chandigarh
Chaa Shaa,"North Indian, Fast Food, Street Food",250,4.0,Jalandhar
Chaa Sutta,"Fast Food, Street Food",150,3.7,Guwahati
Chaap Chop,Fast Food,150,4.3,Jabalpur
Chaap Roll Express,North Indian,150,3.3,Bareilly
Chaap Tikka Express,North Indian,200,3.4,Jodhpur
Chaap Tikka Express,"North Indian, Fast Food",200,3.7,Kota
Chaap Tikka Vibes,North Indian,200,3.4,Dhanbad
Chaap Express,North Indian,250,3.8,Saharanpur
Chaap Express,North Indian,200,4.0,Jaipur
Chaap Hi Chaap,Indian,100,4.0,Gorakhpur
Chaap House,North Indian,200,4.0,Moradabad
Chaap Junction,North Indian,150,3.3,Lucknow
Chaap Junction,"North Indian, Fast Food, Biryani",100,3.9,Jodhpur
Chaap Junction A Unit Of Guru Nanak Foods,Street Food,100,4.0,Haridwar
Chaap King,North Indian,200,3.6,NCR
Chaap Kingdom,North Indian,150,3.6,Bareilly
Chaap Master,"North Indian, Street Food",150,3.7,Chennai
Chaap N Paratha,"South Indian, North Indian, Street Food, Biryani",250,3.8,Lucknow
Chaap Paradise,North Indian,50,4.3,Moradabad
Chaap Shaap,North Indian,100,4.2,Lucknow
Chaap Storie,"North Indian, Fast Food",200,3.7,NCR
Chaap Wale,North Indian,50,3.3,Patiala
Chaapo By Express Kitchen,North Indian,200,3.7,Jaipur
Chaappi Restaurant,"South Indian, Fast Food",150,4.0,Trivandrum
Chaaps More,"North Indian, Biryani",200,4.0,Mumbai
Chaapshaala,"North Indian, Biryani",150,3.4,Bareilly
Chaapsticks,North Indian,100,3.8,Indore
Chaapwala com,North Indian,100,4.0,Lucknow
Chaat Adda,"Fast Food, Street Food",250,3.5,Kanpur
Chaat Bazaar,Street Food,150,3.3,Kolhapur
Chaat Bazaar,Street Food,100,4.0,Nellore
Chaat Chaska,"Fast Food, Street Food",150,4.0,Jalgaon
Chaat Chaska,Street Food,200,4.4,Hyderabad
Chaat Chator,"North Indian, Street Food",150,3.9,Kolkata
Chaat Chatore,"Fast Food, Street Food",250,3.8,Ajmer
Chaat Courtyard,"North Indian, Street Food",100,4.0,Meerut
Chaat Express,"North Indian, Fast Food, Street Food",200,3.8,Saharanpur
Chaat House,Street Food,50,3.1,Warangal
Chaat House,Fast Food,100,3.5,Salem
Chaat House,Street Food,150,3.5,Bhopal
Chaat Hub,Fast Food,200,3.9,Belgaum
Chaat Ka Chaska,"North Indian, Street Food",300,3.5,Ranchi
Chaat Ka Chaska,"North Indian, Fast Food, Street Food",200,4.2,Vadodara
Chaat Ka Chaska,"South Indian, North Indian, Fast Food, Street Food",350,4.2,Chandigarh
Chaat Ka Chaska Premium,Street Food,100,4.1,Gorakhpur
Chaat Kings,Street Food,150,3.7,Bareilly
Chaat Le,"Fast Food, Street Food",150,3.6,Agra
Chaat Pitara,Street Food,100,4.0,Udaipur
Chaat Puchka,"Fast Food, Street Food",150,3.2,Meerut
Chaat Sansaar,"North Indian, Street Food",200,4.2,Lucknow
Chaat Sarovar,"Fast Food, Street Food",250,3.8,Bareilly
